"personid","sex","Birthyeargroup","ethnicity"
"20236","0","22","1"
"400407","0","16","1"
"259783","0","16","1"
"405222","1","14","1"
"368975","0","12","1"
"117683","0","16","1"
"128542","0","15","1"
"354348","0","14","1"
"367152","0","12","1"
"4922","0","13","1"
"114116","1","17","1"
"319291","0","11","1"
"183908","0","14","1"
"412287","0","9","1"
"120459","1","12","1"
"316042","1","17","1"
"427229","0","18","1"
"246210","1","18","1"
"198959","0","8","1"
"400708","0","15","1"
"333685","1","19","1"
"447971","0","23","1"
"72987","1","11","1"
"135685","0","11","1"
"329347","0","17","1"
"318223","1","15","1"
"111645","1","22","1"
"185719","0","15","1"
"63305","1","11","1"
"432141","0","11","1"
"173779","0","13","1"
"386898","0","16","1"
"99886","1","7","1"
"28901","0","12","1"
"350318","0","22","1"
"242359","0","18","1"
"263051","1","18","1"
"357443","0","10","1"
"191240","0","6","1"
"434346","0","9","1"
"179296","1","9","1"
"14907","0","17","1"
"11674","1","10","1"
"158606","0","16","1"
"415707","1","15","1"
"20074","0","18","1"
"134279","0","16","1"
"304021","0","13","1"
"312856","0","16","1"
"454056","1","18","1"
"19140","0","12","1"
"28441","1","14","1"
"322300","0","11","1"
"419055","0","15","1"
"105116","0","12","1"
"125119","1","16","1"
"114701","0","7","1"
"374549","1","14","1"
"13717","1","21","1"
"242833","0","17","1"
"289962","1","14","1"
"163252","0","18","1"
"350602","1","21","1"
"442654","0","19","1"
"60208","0","10","1"
"356592","1","14","1"
"311000","1","9","1"
"310826","0","20","1"
"406306","0","14","1"
"142307","0","11","1"
"254992","1","11","1"
"448035","1","16","1"
"392263","1","19","1"
"193841","1","19","1"
"180741","1","16","1"
"347650","1","8","1"
"379100","0","10","1"
"115521","0","12","1"
"362962","0","16","1"
"180950","0","14","1"
"404868","0","13","1"
"357588","1","15","1"
"316217","1","10","1"
"259378","1","13","1"
"392666","0","15","0"
"343168","1","14","1"
"132640","0","14","1"
"352264","0","16","1"
"171682","1","18","0"
"205001","1","17","1"
"62079","1","16","1"
"364024","1","19","1"
"14494","1","16","1"
"328380","0","18","1"
"334667","0","16","1"
"110794","0","15","1"
"44290","0","10","1"
"360595","0","6","1"
"177112","0","14","1"
"78433","1","20","1"
"30108","1","17","1"
"41858","1","14","1"
"239056","1","20","1"
"221639","1","18","1"
"179925","1","10","1"
"413356","0","17","1"
"25391","1","14","1"
"319712","0","19","1"
"323626","1","7","1"
"432061","0","15","1"
"453876","0","13","1"
"380741","1","20","1"
"37776","1","21","1"
"274801","0","16","1"
"230588","0","8","1"
"200586","1","11","1"
"432789","1","15","1"
"84174","0","9","1"
"212787","1","21","1"
"240060","1","20","1"
"203621","0","18","1"
"209227","1","15","1"
"365386","0","14","1"
"89951","1","21","1"
"79529","1","14","1"
"149517","0","16","1"
"12583","1","20","1"
"351538","0","7","1"
"365555","1","15","1"
"147467","1","7","1"
"313340","1","15","1"
"150008","1","19","1"
"201319","1","14","1"
"172935","0","10","1"
"19279","0","13","1"
"263212","0","12","1"
"20947","0","10","1"
"290693","1","20","1"
"333978","0","14","1"
"235803","0","22","1"
"334766","0","10","1"
"100182","1","6","1"
"416759","0","21","1"
"420733","1","10","1"
"31145","0","20","1"
"36352","1","18","1"
"255037","0","10","1"
"318464","0","11","1"
"127594","1","16","1"
"287696","0","16","1"
"435145","1","24","1"
"145951","0","8","1"
"366822","0","10","1"
"327350","1","16","1"
"171419","0","11","1"
"84420","0","10","1"
"294926","0","11","1"
"200461","1","18","1"
"243557","0","22","1"
"288426","1","20","1"
"179499","0","16","1"
"353589","0","21","1"
"394250","0","15","1"
"386976","0","9","1"
"111988","1","16","1"
"407382","0","11","1"
"110365","1","21","1"
"176058","1","13","1"
"95490","1","20","1"
"70403","1","18","1"
"197524","1","15","1"
"348234","1","13","1"
"298282","1","15","1"
"86294","0","15","1"
"11063","1","14","1"
"195187","0","11","1"
"217260","1","9","1"
"333658","0","10","1"
"176588","0","19","1"
"430212","0","16","1"
"137645","1","15","1"
"242608","0","16","1"
"83221","1","21","1"
"265719","0","9","1"
"372294","1","20","1"
"407501","0","23","1"
"292741","0","7","1"
"121530","0","15","1"
"279103","0","12","1"
"123479","1","20","1"
"425334","0","14","1"
"313830","0","12","1"
"127895","0","13","1"
"304261","0","15","1"
"301458","1","15","1"
"17898","1","19","1"
"399660","1","6","1"
"37418","1","21","1"
"366398","1","18","1"
"164814","1","21","1"
"21093","1","21","1"
"268562","1","11","1"
"447221","0","14","1"
"223428","0","16","1"
"121531","0","16","1"
"61825","1","16","1"
"310823","1","16","1"
"226008","1","20","1"
"338673","1","7","1"
"206194","1","23","1"
"30577","1","16","1"
"234440","0","12","1"
"360830","1","13","1"
"281463","1","13","1"
"323681","0","8","1"
"302269","1","13","1"
"304379","0","16","1"
"11429","1","13","1"
"220571","1","10","1"
"256979","0","14","1"
"27972","1","14","1"
"50371","1","15","1"
"383689","1","20","1"
"242831","0","14","1"
"458022","1","18","0"
"119722","1","15","1"
"347222","0","10","1"
"291928","1","13","1"
"15356","1","15","1"
"99959","0","10","1"
"87636","1","9","1"
"239003","1","16","1"
"299962","0","11","1"
"225208","1","18","1"
"454978","0","14","1"
"31171","1","11","1"
"446236","0","9","1"
"252756","0","15","1"
"344359","1","20","1"
"453291","1","9","1"
"353489","0","10","1"
"242502","1","13","1"
"211753","1","20","1"
"125866","0","12","1"
"89653","0","17","1"
"231100","1","12","1"
"259414","1","14","1"
"40741","0","15","1"
"58122","0","18","1"
"386826","1","8","1"
"332797","1","16","1"
"332791","1","8","1"
"435124","1","15","1"
"80723","1","14","1"
"106381","1","8","1"
"261369","1","18","1"
"23356","0","16","1"
"251355","1","11","1"
"255645","0","18","1"
"67263","1","15","1"
"443548","0","10","1"
"91561","1","8","1"
"288427","1","22","1"
"167472","1","14","1"
"53536","1","17","1"
"147371","1","16","1"
"58659","1","20","1"
"161707","0","12","1"
"356025","0","20","1"
"257786","1","14","1"
"17112","1","14","1"
"157950","0","13","1"
"215670","1","15","1"
"406284","1","16","1"
"204403","1","20","1"
"444086","0","16","1"
"388581","0","15","1"
"297044","0","17","1"
"58187","1","13","1"
"254703","0","15","1"
"273122","0","11","1"
"458828","1","19","1"
"362502","0","22","1"
"280025","1","11","1"
"296402","0","16","1"
"71657","1","22","1"
"343005","1","10","1"
"111975","1","13","1"
"300021","1","11","1"
"31454","1","17","1"
"451202","1","14","1"
"243739","0","14","1"
"355868","0","20","1"
"71690","1","10","1"
"460663","1","12","1"
"149719","0","12","1"
"147823","1","7","1"
"268353","0","16","1"
"251500","1","16","1"
"321718","1","9","1"
"355637","0","10","1"
"55090","1","11","1"
"164145","1","15","1"
"429722","1","21","1"
"343562","0","13","1"
"101254","1","13","1"
"175650","0","14","1"
"78974","0","14","1"
"385954","0","15","1"
"132709","1","16","1"
"401669","1","19","1"
"232896","1","17","1"
"90185","0","8","1"
"172469","0","16","1"
"60077","0","16","1"
"4881","1","18","0"
"53713","0","16","1"
"379878","1","16","1"
"401644","1","13","1"
"164745","0","13","1"
"109864","1","12","1"
"17656","1","11","1"
"267738","1","19","1"
"173640","0","14","1"
"1419","1","18","1"
"263168","1","12","1"
"408625","1","23","1"
"332317","0","14","1"
"139649","0","16","1"
"11967","1","14","1"
"403954","0","16","1"
"27963","0","9","1"
"77232","1","15","1"
"24254","1","8","1"
"189085","0","17","1"
"161661","1","15","1"
"277122","0","15","1"
"188944","0","20","1"
"131133","0","15","1"
"79671","0","11","1"
"133555","0","16","1"
"185104","0","8","1"
"314548","0","14","1"
"286140","0","16","1"
"279152","1","11","1"
"388537","0","10","1"
"121008","0","8","1"
"228260","1","10","1"
"284597","1","17","1"
"405982","1","13","1"
"147849","1","6","1"
"426553","1","14","1"
"251465","1","8","1"
"317869","0","15","1"
"124058","0","7","1"
"294160","0","21","1"
"292840","0","12","1"
"333746","0","17","1"
"437201","0","17","1"
"352036","0","16","1"
"328748","0","10","1"
"307485","1","13","1"
"324583","1","15","1"
"57437","1","15","1"
"397481","1","11","1"
"262574","1","14","1"
"293129","0","13","1"
"33365","1","8","1"
"425417","1","15","1"
"157130","1","16","1"
"123683","1","10","1"
"70718","1","12","1"
"43056","1","17","1"
"286568","1","18","1"
"112486","1","15","1"
"105135","0","21","1"
"364525","0","14","1"
"385615","1","16","1"
"211975","1","19","1"
"39653","1","22","1"
"295700","0","8","1"
"218343","1","15","1"
"386751","1","11","1"
"216541","1","13","1"
"147784","1","17","1"
"226414","1","9","1"
"19437","1","9","1"
"438417","1","9","1"
"42846","0","15","1"
"379456","1","12","1"
"139427","0","16","1"
"284194","1","16","1"
"331857","1","20","1"
"55679","1","14","1"
"143889","0","11","1"
"51824","1","8","1"
"384577","1","10","1"
"319961","1","14","0"
"268207","1","16","1"
"26900","0","13","1"
"1687","0","12","1"
"176503","1","9","1"
"201220","0","11","1"
"299435","0","10","1"
"361268","1","11","1"
"314108","0","24","1"
"172599","1","12","1"
"395773","1","10","1"
"216782","0","15","1"
"316522","0","10","1"
"452783","1","17","1"
"411510","1","11","1"
"301651","0","12","1"
"120358","1","15","1"
"221563","0","15","1"
"70946","1","13","1"
"351610","1","9","1"
"135876","1","16","1"
"433810","0","16","1"
"130204","1","7","1"
"16464","1","15","1"
"165992","1","16","1"
"181250","1","19","1"
"91750","0","9","1"
"72624","1","10","1"
"51427","1","17","1"
"389048","1","15","1"
"446083","1","11","1"
"336849","1","19","1"
"454154","0","17","1"
"26474","0","21","1"
"73272","0","8","1"
"283951","1","9","1"
"191654","1","11","1"
"161155","1","15","1"
"454829","1","15","1"
"323788","1","14","1"
"318599","0","9","1"
"345346","0","14","1"
"79632","0","13","1"
"194048","0","17","1"
"211688","0","16","1"
"374552","0","19","1"
"239473","1","11","1"
"460214","0","15","1"
"340656","1","14","1"
"377240","1","21","1"
"261184","1","9","1"
"328462","1","20","1"
"54424","1","14","1"
"415669","0","16","1"
"360255","0","14","1"
"130004","0","14","1"
"158045","1","11","1"
"284963","1","14","1"
"142685","1","20","1"
"127998","1","12","1"
"329417","1","11","1"
"362071","1","17","1"
"353364","0","13","1"
"393163","1","19","1"
"59246","0","10","1"
"8911","0","17","1"
"15963","0","13","1"
"109459","0","23","1"
"244288","0","13","1"
"446863","0","11","1"
"250298","0","6","1"
"206623","0","17","1"
"158062","0","17","1"
"402029","1","11","1"
"39725","0","15","1"
"447106","1","19","1"
"73162","1","15","1"
"201125","0","15","1"
"444028","1","8","1"
"185521","1","14","1"
"188180","0","22","1"
"132006","0","20","1"
"207401","1","17","1"
"415043","0","14","1"
"426179","1","16","1"
"307917","1","11","1"
"240525","1","17","1"
"391523","1","12","1"
"37166","1","23","1"
"43895","1","21","1"
"130711","0","11","1"
"448679","0","16","1"
"146449","1","20","1"
"148792","1","16","1"
"266358","0","18","1"
"296574","1","19","1"
"36891","1","8","1"
"80104","1","19","1"
"413057","1","21","1"
"11214","0","24","1"
"7795","1","12","1"
"287016","0","16","1"
"262164","0","16","1"
"18379","1","13","1"
"415713","1","20","1"
"440415","1","15","1"
"225170","0","9","1"
"84733","1","14","1"
"276886","0","23","1"
"348165","0","11","1"
"234895","1","9","1"
"243712","1","18","1"
"111064","0","15","1"
"288302","1","15","1"
"228896","0","16","1"
"261555","0","15","1"
"139592","1","8","1"
"373034","1","17","1"
"178567","1","21","1"
"176997","0","8","1"
"296095","1","12","1"
"426649","1","21","1"
"136533","0","18","1"
"389224","0","9","1"
"211056","0","16","1"
"87631","1","13","1"
"411213","1","12","1"
"430201","0","16","1"
"251207","0","4","1"
"94462","0","16","1"
"165742","1","15","1"
"236865","0","7","1"
"315467","0","22","1"
"291641","0","15","1"
"106032","0","9","1"
"219702","1","12","1"
"459695","0","10","1"
"403045","0","6","1"
"109774","0","18","1"
"56435","1","18","1"
"195036","1","16","1"
"439765","1","20","1"
"279590","1","11","1"
"126635","0","7","1"
"238119","1","12","1"
"335458","1","9","1"
"445620","0","8","1"
"281484","1","17","1"
"156296","0","17","1"
"82416","1","6","1"
"122849","1","11","1"
"24558","0","11","1"
"306703","1","21","1"
"1616","1","9","1"
"62605","0","17","1"
"8200","0","14","1"
"392194","1","14","1"
"306243","1","12","1"
"174781","1","13","1"
"84916","0","15","1"
"332482","0","19","1"
"163574","0","15","1"
"237324","1","14","1"
"418559","0","12","1"
"163773","1","13","1"
"263793","0","12","1"
"165008","0","14","1"
"264764","0","13","1"
"145609","1","13","1"
"392448","1","14","1"
"176005","0","17","1"
"15553","0","7","1"
"193671","1","15","1"
"86849","0","8","1"
"177905","1","19","1"
"310950","1","15","1"
"389902","0","13","1"
"316240","1","14","1"
"236172","0","16","1"
"147855","0","9","1"
"32536","0","9","1"
"47873","1","13","1"
"139572","0","17","1"
"362622","1","15","1"
"159453","1","16","1"
"352779","0","14","1"
"12185","0","22","1"
"174813","0","16","1"
"360478","1","13","1"
"29760","1","21","1"
"338227","0","9","1"
"83556","1","16","1"
"185871","1","16","1"
"347361","1","11","1"
"299216","1","15","1"
"205012","1","9","1"
"280218","1","22","1"
"264985","1","7","1"
"351428","0","13","0"
"438185","1","13","1"
"7068","1","14","1"
"178331","1","10","1"
"200933","0","17","1"
"167704","0","6","1"
"124417","1","13","1"
"347566","1","16","1"
"54192","1","17","1"
"105536","1","14","1"
"289872","0","14","1"
"258004","1","14","1"
"214497","1","16","1"
"340800","1","6","1"
"40656","1","11","1"
"94739","0","9","1"
"202673","1","13","1"
"186692","1","12","1"
"146702","0","9","1"
"183586","0","14","1"
"393070","0","8","1"
"349122","0","21","1"
"461578","0","7","1"
"278004","0","15","1"
"166122","0","9","1"
"192972","0","19","1"
"84813","0","14","1"
"450116","0","6","1"
"87974","1","15","1"
"258744","1","10","1"
"233777","0","10","1"
"434807","1","15","1"
"279562","1","13","1"
"74025","1","18","1"
"239862","1","22","1"
"277554","0","22","1"
"303977","0","9","1"
"362665","1","12","1"
"263561","0","15","1"
"85380","0","16","1"
"428840","0","16","1"
"70413","1","15","1"
"40153","0","17","1"
"454452","0","23","1"
"57837","1","9","1"
"424666","0","12","1"
"266461","0","12","1"
"40491","0","16","1"
"59322","0","11","1"
"424414","0","21","1"
"249112","0","15","1"
"55762","0","16","1"
"27350","1","13","1"
"31153","0","15","1"
"396857","1","10","1"
"95776","0","5","1"
"43294","0","15","1"
"185760","0","11","1"
"160340","0","13","1"
"57195","1","9","1"
"366724","1","23","1"
"249830","0","18","1"
"458035","1","14","1"
"441059","1","16","1"
"244339","0","8","1"
"417960","1","18","1"
"262715","0","23","1"
"343365","1","17","1"
"396712","0","14","1"
"159903","0","7","1"
"432785","1","21","1"
"17514","1","7","1"
"88667","0","14","1"
"318988","1","17","1"
"81972","0","15","1"
"66827","0","13","0"
"53349","1","15","1"
"283586","1","19","1"
"419681","1","11","1"
"135926","0","14","1"
"214391","0","23","1"
"25495","1","20","1"
"68336","1","14","1"
"150343","1","13","1"
"427399","0","17","1"
"167828","0","12","1"
"298778","0","16","1"
"255790","1","15","1"
"123763","1","20","1"
"107862","1","11","1"
"214201","1","12","1"
"274884","1","14","1"
"187408","1","13","1"
"35387","0","7","1"
"295823","1","10","1"
"21699","1","16","1"
"298702","1","21","1"
"350937","0","9","1"
"2600","1","17","1"
"410499","1","13","1"
"439438","0","15","1"
"31197","0","8","1"
"189488","0","14","1"
"398366","0","16","1"
"444441","1","16","1"
"438024","1","7","1"
"354418","0","21","1"
"98634","0","18","1"
"431557","1","14","1"
"100587","0","14","1"
"369742","1","15","1"
"169354","1","6","1"
"373180","1","13","1"
"326209","1","13","1"
"169279","1","16","0"
"214137","1","15","1"
"379941","1","22","1"
"76824","1","9","1"
"66138","0","15","1"
"421774","1","17","1"
"27215","1","15","1"
"83494","0","8","1"
"174166","0","14","1"
"55685","1","9","1"
"267959","1","14","1"
"396556","0","16","1"
"95289","1","16","1"
"126417","1","11","1"
"304439","0","12","1"
"350272","1","13","1"
"78515","1","14","1"
"139140","0","15","1"
"386805","1","20","1"
"261389","0","20","1"
"423700","1","13","1"
"59168","0","17","1"
"198681","1","11","1"
"159517","1","13","1"
"6842","0","13","1"
"337308","1","9","1"
"119391","0","12","1"
"388041","1","11","1"
"210892","0","9","1"
"273621","0","19","1"
"113169","1","15","1"
"91646","0","15","1"
"22820","1","18","1"
"218","1","16","1"
"399397","1","14","1"
"36994","1","10","1"
"335385","1","14","1"
"326160","1","12","1"
"276580","0","22","1"
"207372","1","16","1"
"433470","0","13","1"
"183893","0","13","1"
"91086","0","16","1"
"226205","1","12","1"
"220963","0","21","1"
"172820","1","11","1"
"221474","0","14","1"
"417858","0","20","1"
"194214","0","20","1"
"427028","0","4","1"
"245945","1","13","1"
"316577","0","9","1"
"290350","0","8","1"
"248581","0","13","1"
"433153","1","10","1"
"171767","0","17","1"
"375103","0","18","1"
"82979","1","15","1"
"298315","0","13","1"
"142934","1","16","1"
"295977","1","9","1"
"333507","1","8","1"
"60701","1","19","1"
"49284","0","9","1"
"128744","0","17","0"
"5291","1","8","1"
"2264","0","13","1"
"258585","1","17","1"
"461352","0","15","1"
"101810","0","9","1"
"349595","0","11","1"
"413937","1","16","1"
"42263","1","20","1"
"249167","0","14","1"
"415944","0","16","1"
"356554","1","9","1"
"415189","1","11","1"
"16007","0","17","1"
"105852","0","9","1"
"461399","1","12","1"
"316106","1","10","1"
"58463","0","17","1"
"301198","1","11","1"
"231746","1","19","1"
"45247","0","14","1"
"122042","0","17","1"
"351450","0","5","1"
"330972","1","18","1"
"300808","1","16","1"
"154159","1","11","1"
"342381","1","18","1"
"98609","1","14","1"
"9381","0","15","1"
"269117","1","15","1"
"243725","1","7","1"
"234456","1","11","1"
"316519","0","8","1"
"411959","0","9","1"
"169890","1","10","1"
"316411","0","7","1"
"82924","0","11","1"
"239286","1","12","1"
"331443","1","14","1"
"245149","0","15","1"
"64806","0","12","1"
"109043","0","10","1"
"460811","0","11","1"
"325545","0","9","1"
"107976","1","13","1"
"155532","1","13","1"
"9364","1","13","1"
"440183","1","18","1"
"32918","0","8","1"
"161102","0","12","1"
"18924","0","18","1"
"373176","0","13","1"
"42217","0","10","1"
"417497","1","6","1"
"114973","0","15","1"
"248345","0","16","1"
"385672","0","14","1"
"303291","1","14","1"
"58534","1","16","1"
"344279","0","12","1"
"29429","1","13","1"
"63625","1","11","1"
"422547","0","6","1"
"310052","1","14","1"
"148833","0","8","1"
"359676","1","15","1"
"298690","0","10","1"
"128645","0","6","1"
"118084","1","10","1"
"171406","1","15","1"
"95285","1","14","1"
"49205","0","15","1"
"446593","1","14","1"
"217619","1","14","1"
"101948","0","17","1"
"103904","1","13","1"
"328336","0","11","1"
"100216","0","17","1"
"27331","0","7","1"
"221070","0","17","1"
"240891","0","15","1"
"381707","0","5","1"
"203155","0","9","1"
"122438","1","16","1"
"363677","1","11","1"
"169401","0","9","1"
"133148","1","9","1"
"430356","1","19","1"
"52318","0","24","1"
"252076","0","10","1"
"64485","0","13","1"
"363575","0","15","1"
"446554","1","13","1"
"108065","1","16","1"
"247840","1","17","0"
"268110","0","12","1"
"456619","0","17","1"
"43792","1","9","1"
"301150","0","9","1"
"365084","1","8","1"
"73448","0","8","1"
"115977","1","18","1"
"121281","0","12","1"
"99094","1","13","1"
"392507","1","20","1"
"205089","1","17","1"
"27644","1","17","1"
"414324","0","16","1"
"113068","1","20","1"
"108665","0","18","1"
"87216","0","6","1"
"273962","1","21","1"
"253035","1","18","1"
"416351","1","11","1"
"405351","0","15","1"
"191685","0","13","1"
"347137","0","15","1"
"204221","1","11","0"
"445635","1","11","1"
"59707","1","17","1"
"361614","0","7","1"
"407010","1","14","1"
"319853","0","12","1"
"93373","1","18","1"
"170981","0","15","1"
"325615","0","20","1"
"428691","1","16","1"
"340025","1","12","1"
"351449","0","14","1"
"442795","1","21","1"
"20002","1","13","1"
"200138","1","16","1"
"303263","0","18","1"
"145834","0","16","1"
"195805","0","20","1"
"305358","1","15","1"
"349804","1","11","1"
"415703","1","13","1"
"266015","1","15","1"
"49752","0","16","1"
"90546","1","16","1"
"447509","0","18","1"
"413819","1","17","1"
"227254","1","22","1"
"208237","1","11","1"
"209644","0","12","1"
"77148","1","13","1"
"271694","0","9","1"
"211980","0","17","1"
"387534","1","15","1"
"120547","0","17","1"
"228694","0","17","1"
"18650","0","16","1"
"250376","0","12","1"
"348524","1","22","1"
"68003","0","17","1"
"433486","0","9","1"
"65347","1","16","1"
"129663","1","17","1"
"178723","1","14","1"
"431061","0","13","1"
"347545","1","16","1"
"209575","0","9","1"
"188901","1","16","1"
"132724","1","14","1"
"259820","0","7","1"
"20456","1","15","1"
"60210","0","21","1"
"189738","0","15","1"
"290589","1","17","1"
"197796","1","8","1"
"394897","1","14","0"
"270138","0","10","1"
"222483","0","14","1"
"317913","0","16","1"
"262140","1","18","1"
"383420","0","15","1"
"322900","0","10","1"
"361813","0","8","1"
"162745","1","16","1"
"250119","0","9","1"
"325000","1","23","1"
"334369","1","22","1"
"322177","1","6","1"
"162007","1","20","1"
"350290","1","11","1"
"336599","1","8","1"
"201304","1","12","1"
"375600","1","12","1"
"119844","1","18","1"
"355849","1","16","0"
"74430","0","8","1"
"123869","1","20","1"
"212188","0","15","1"
"197391","0","18","1"
"417116","0","10","1"
"381147","0","15","1"
"449766","0","18","1"
"356000","0","10","1"
"108688","0","17","1"
"226284","1","9","1"
"342860","0","10","1"
"54833","0","14","1"
"305102","1","22","1"
"107365","1","10","1"
"226785","0","12","1"
"389661","0","15","1"
"442327","0","20","1"
"58722","0","14","1"
"241662","1","15","1"
"163059","1","15","1"
"345026","1","13","1"
"279690","0","20","1"
"136617","0","8","1"
"151070","0","14","1"
"259485","1","10","1"
"146425","0","12","1"
"189730","1","15","1"
"247702","1","13","1"
"315340","1","23","1"
"120159","0","17","1"
"150720","1","14","1"
"84405","0","10","1"
"429985","0","11","1"
"391897","1","15","1"
"366114","0","17","1"
"119350","0","9","1"
"405849","1","13","1"
"337216","0","16","1"
"331319","0","13","1"
"392678","1","17","1"
"375626","0","10","1"
"250099","1","13","1"
"459155","1","16","1"
"221640","0","16","1"
"96182","1","12","1"
"331171","0","14","1"
"148462","1","14","1"
"460050","1","10","1"
"71190","1","15","1"
"17933","0","10","1"
"296126","0","16","1"
"124890","1","14","1"
"18419","1","21","1"
"188572","0","8","1"
"329889","1","17","1"
"250266","1","8","1"
"192929","0","21","1"
"319232","1","15","1"
"284265","0","13","1"
"102422","0","8","1"
"461291","1","20","1"
"446644","1","20","1"
"418403","1","14","1"
"193872","1","15","1"
"319658","1","21","1"
"263704","1","15","1"
"41999","1","18","1"
"75808","0","8","1"
"126159","0","11","1"
"420310","0","13","1"
"315832","1","10","1"
"344287","1","10","1"
"70968","1","13","1"
"236338","1","17","1"
"312290","0","11","1"
"190589","1","16","1"
"23842","0","9","1"
"263230","0","16","1"
"261515","0","9","1"
"7781","1","19","1"
"24950","0","20","1"
"432449","0","12","1"
"295804","0","13","1"
"84858","1","7","1"
"270683","1","17","1"
"226546","1","16","1"
"30481","0","16","1"
"455747","1","22","1"
"197157","1","14","1"
"226707","0","21","1"
"309037","0","15","1"
"289458","0","9","1"
"157270","1","9","1"
"428939","1","18","1"
"146144","0","23","1"
"345993","0","15","1"
"206437","0","14","1"
"241471","1","11","1"
"176781","1","20","1"
"62657","1","14","1"
"241214","1","16","1"
"307800","0","11","1"
"53368","1","13","1"
"212552","0","12","1"
"439393","0","14","1"
"399962","1","10","1"
"452398","1","13","1"
"32826","1","8","1"
"433054","0","13","1"
"277328","0","12","1"
"258564","1","9","1"
"88046","1","14","1"
"314668","1","19","1"
"220640","1","18","1"
"131135","0","16","1"
"96298","0","16","1"
"404180","1","11","1"
"81527","0","16","1"
"219227","0","17","1"
"125314","0","12","1"
"124299","0","21","1"
"76192","1","12","1"
"439553","0","15","1"
"57269","1","12","1"
"200261","0","18","1"
"32574","1","14","1"
"141739","0","12","1"
"11956","1","15","1"
"303174","0","11","1"
"354133","0","19","1"
"253352","0","19","1"
"373905","0","13","1"
"139176","0","20","1"
"379307","0","9","1"
"279218","1","18","1"
"206637","1","20","1"
"191241","1","19","1"
"354839","1","6","1"
"238017","1","8","1"
"408064","0","14","1"
"319399","1","13","1"
"384900","1","17","1"
"261721","0","11","1"
"170438","0","23","1"
"260769","0","19","0"
"374518","0","18","1"
"88884","0","16","1"
"380846","0","12","1"
"136791","1","15","1"
"173800","0","12","1"
"341008","0","16","1"
"39806","1","17","1"
"341803","0","17","1"
"151750","1","16","1"
"245096","0","13","1"
"304268","1","21","1"
"459599","1","18","1"
"216583","1","13","1"
"389531","0","10","1"
"87375","0","13","1"
"383459","0","15","1"
"411414","0","14","1"
"362591","1","11","1"
"344871","0","14","1"
"284065","1","22","1"
"280788","1","20","1"
"9097","0","7","1"
"51385","1","16","1"
"163782","1","8","1"
"9972","1","14","1"
"270646","0","12","1"
"300006","0","7","1"
"158660","0","7","1"
"104568","1","13","1"
"7628","1","13","1"
"456738","0","23","1"
"122778","1","12","1"
"305809","1","12","1"
"440665","1","15","1"
"36017","1","11","1"
"250191","1","11","1"
"133979","0","14","1"
"397305","1","13","1"
"246169","0","13","1"
"350665","1","13","1"
"120172","1","15","1"
"247812","1","15","1"
"333162","0","21","1"
"416839","0","12","1"
"419754","0","17","1"
"396551","1","18","1"
"134492","0","18","1"
"422758","1","16","1"
"343761","1","11","1"
"418716","1","16","1"
"425343","0","9","1"
"97553","1","12","1"
"415342","1","15","1"
"301536","0","13","1"
"38688","1","18","1"
"60083","0","10","1"
"263740","1","17","1"
"380278","0","18","1"
"418117","1","7","1"
"285075","1","13","1"
"314395","0","13","1"
"296334","1","13","1"
"384931","1","23","1"
"56661","0","11","1"
"253680","0","21","1"
