"druglocalcode","drugigrdname"
"Drug3001","Cefditoren"
"Drug3002","Pot.Chloride(8mEq)"
"Drug3003","Diazepam"
"Drug3004","Dantrolene Sodium"
"Drug3005","Phenytoin sod."
"Drug3006","Doxycycline.H2O"
"Drug3007","Propacetamol"
"Drug3008","Deferasirox"
"Drug3009","Povidone Iodine"
"Drug3010","Verapamil.HCl"
"Drug3011","Losartan K 100mg+ HCTZ 25mg"
"Drug3012","Clozapine"
"Drug3013","Alprazolam"
"Drug3014","Insulin glulisine"
"Drug3015","Acetyl-L-carnitine"
"Drug3016","Dapoxetine HCl"
"Drug3017","Enoxaparin"
"Drug3018","Candesartan Cilexetil"
"Drug3019","Cefdinir"
"Drug3020","Orlistat"
"Drug3021","Rituximab"
"Drug3022","Peritoneal dialysate"
"Drug3023","Arotinolol HCl"
"Drug3024","Cefmenoxime HCl"
"Drug3025","Alprostadil"
"Drug3026","Fesoterodine fumarate"
"Drug3027","Alprostadil(Lipo PGE1)"
"Drug3197","Tranexamic acid"
"Drug3198","Lactobacillus acidophilus"
"Drug3199","Botulinum toxin type B"
"Drug3200","Methotrexate"
"Drug3201","Immunocyanin"
"Drug3202","Valproate Sodium"
"Drug3203","Anidulafungin"
"Drug3204","Deferasirox"
"Drug3205","Ramipril"
"Drug3206","Peginterferon alpha-2a"
"Drug3207","Erythropoietin"
"Drug3208","Methotrexate"
"Drug3209","Fentanyl citrate"
"Drug3210","Dalteparin"
"Drug3211","Insulin Human (NPH)"
"Drug3212","Colloidal Al.Phosphate + Mg.oxide"
"Drug3213","Argatroban"
"Drug3214","Salcatonin"
"Drug3215","Immunoglobulin-G (IV)"
"Drug3216","Lidocaine HCI"
"Drug3217","Peritoneal dialysate"
"Drug3218","L-Carnitine"
"Drug3219","Midazolam"
"Drug3220","Baclofen"
"Drug3221","Valproate Sodium"
"Drug3222","Enteral Nutrition Liquid"
"Drug3223","Sod.alginate"
"Drug3224","Calcitriol"
"Drug3225","Ondansetron.HCl"
"Drug2821","Histamine + Immunoglobulin G"
"Drug2822","Rosiglitazone 4mg + Glimepiride 4mg"
"Drug2823","Hydroxychloroquine sulfate"
"Drug2824","Rofecoxib"
"Drug2825","Cytomegalovirus Immune globulin"
"Drug2826","Oseltamivir"
"Drug2827","Cefprozil"
"Drug2828","Viscum album (아종 : Mali)"
"Drug2829","Sodium nitrite, Sodium thiosulfate, Amyl nitrite"
"Drug2830","Methylphenidate HCl"
"Drug2831","Chlorpheniramine maleate"
"Drug2832","Lacidipine"
"Drug2833","Estradiol Hemihydrate 2mg + Norethisterone Acetate 1mg /T"
"Drug2834","Riluzole"
"Drug2835","Ipratropium Br"
"Drug2836","Glimepiride"
"Drug2837","Atorvastatin calcium anhydrous"
"Drug2838","Nifuroxazide"
"Drug2839","Nateglinide"
"Drug2840","Adefovir"
"Drug2841","Indocyanine Green"
"Drug2842","Lacidipine"
"Drug2843","Bupivacaine HCl"
"Drug2844","Growth Hormone (Somatropin)"
"Drug2845","Topiramate"
"Drug2846","Ketamine HCl"
"Drug2847","Peginterferon alfa-2b"
"Drug2848","Peritoneal dialysate"
"Drug2849","Rosiglitazone 4mg + Glimepiride 2mg"
"Drug2850","Magnesium carbonate+Anhydrous citric acid"
"Drug2851","Iron Acetyltransferrine"
"Drug3028","Papaverine.HCl"
"Drug3029","Cimicifuga fluid ext. 0.0364ml+Hyperici dried ext. 84mg"
"Drug3030","Leucovorin Calcium"
"Drug3031","Dried Ivy leaf ext."
"Drug3032","Rivastigmine"
"Drug3033","Estrogen 0.625mg + Medroxyprogesterone Acetate 5mg"
"Drug3034","Caffeine citrate"
"Drug3035","Celiprolol"
"Drug3036","Chromocarb diethylamine"
"Drug3037","Digoxin"
"Drug3038","Glimepiride"
"Drug3039","Famotidine."
"Drug3040","Clonidine.HCl"
"Drug3041","Aspirin (Enteric coated)"
"Drug3042","Oxethazaine + Al(OH)3 + MgCO3"
"Drug3043","PEG3350"
"Drug3044","Rocuronium Br"
"Drug3045","Caroverine.HCl + Sulpyrin"
"Drug3046","Mosapride"
"Drug3047","PEG 3350 etc"
"Drug3048","Telmisartan + Hydrochlorothiazide"
"Drug3049","Pipecuronium.HBr"
"Drug3050","Coagulation factor VII,X"
"Drug3051","Oxiracetam"
"Drug3052","Oxcarbazepine"
"Drug3053","Bacterial lysate"
"Drug3054","Mg.dimecrotate"
"Drug3055","Palonosetron HCl"
"Drug3056","Dacarbazine"
"Drug3057","Ciprofloxacin"
"Drug3058","Methocarbamol"
"Drug3059","Telmisartan 40mg + Amlodipine 10mg "
"Drug3060","Hydroxyzine HCl"
"Drug3061","Doxazosin mesylate"
"Drug3062","Triamcinolone"
"Drug3063","Arotinolol HCl"
"Drug3064","Tramadol.HCl"
"Drug3065","Cerebrolysin concentrate"
"Drug3066","Mirodenafil HCl"
"Drug3067","Nicametate citrate"
"Drug3068","Glycopyrrolate"
"Drug3069","Tolvaptan"
"Drug3070","Ticagrelor"
"Drug3071","Pneumococcal Vacc"
"Drug3072","Avocado-Soya Unsaponifiables"
"Drug3073","Bleomycin.HCl"
"Drug3074","Irinotecan"
"Drug3075","Cefpodoxime proxetil"
"Drug3076","Methocarbamol"
"Drug3077","Adalimumab"
"Drug3078","Melilotus ext.+Proxyphylline"
"Drug3079","Rocuronium Br"
"Drug3080","Nafarelin Acetate"
"Drug3081","Carteolol.HCl"
"Drug3082","Levothyroxine sod.+Liothyronine sod."
"Drug3083","Benproperine Phosphate"
"Drug3084","Heparin Sodium"
"Drug3085","Fluoxetine"
"Drug3086","Magnesium calcium alumiminosilicate 3g"
"Drug3087","Warfarin Sodium"
"Drug3088","Nemonapride"
"Drug3089","Epinephrine.HCl"
"Drug3090","Trimetazidine.HCl"
"Drug3091","Vit A.D.E B-Comp. Vit.C"
"Drug3092","Haloperidol"
"Drug3093","Levofloxacin"
"Drug3094","Indomethacin"
"Drug3095","Pyridostigmine bromide"
"Drug3096","Alprazolam"
"Drug2852","Imiglucerase"
"Drug2853","Purified Urokinase"
"Drug2854","Valproic Acid"
"Drug2855","Sorafenib"
"Drug2856","Cyclobenzaprine"
"Drug2857","Altretamine"
"Drug2858","Pseudoephedrine.HCl"
"Drug2859","Mycophenolate Mofetil"
"Drug2860","Loratadine"
"Drug2861","Ibuprofen"
"Drug2862","Clarithromycin"
"Drug2863","Galantamine"
"Drug2864","Dantrolene Sodium"
"Drug2865","Cilostazol"
"Drug2866","Cisapride Tartrate"
"Drug2867","Calcium carbonate 250mg+Cholecalciferol 1000unit"
"Drug2868","Peritoneal dialysate"
"Drug2869","Ferric Chloride + chondroitin sulfate"
"Drug2870","Rofecoxib"
"Drug2871","Dextrose"
"Drug2872","Streptococcus Pyogenes"
"Drug2873","Norephinephrine Bitartrate"
"Drug2874","Indocyanine Green"
"Drug2875","Carvedilol"
"Drug2876","Donepezil"
"Drug2877","Chlordiazepoxide+Clidinium bromide"
"Drug2878","Follitropin alfa"
"Drug2879","Peritoneal dialysate"
"Drug2880","Thiocolchicoside"
"Drug2881","Phentermine"
"Drug2882","Pyrazinamide"
"Drug2883","Metolazone"
"Drug2884","Piperacillin + Tazobactam"
"Drug2885","Cefpiramide.sod"
"Drug2886","Aspirin"
"Drug2887","Sod.alginate"
"Drug2888","Filgrastim (G-CSF)"
"Drug2889","Lamotrigine"
"Drug2890","Levonorgestrel"
"Drug2891","Amiodarone.HCl"
"Drug2892","Lercanidipine"
"Drug2893","Idarubicin.HCl"
"Drug2894","Ornidazole"
"Drug2895","Cefminox  sodium"
"Drug2896","Mycophenolate Sod"
"Drug2897","Al(OH)3 dried gel 250mg + MgCO3 160mg"
"Drug2898","Amezinium"
"Drug2899","Pethidine HCL"
"Drug2900","Glipizide"
"Drug2901","Progesterone (Micronized)"
"Drug2902","Triamcinolone acetonide"
"Drug2903","Dacarbazine"
"Drug2904","Sitagliptin 50mg+Metformin HCl500mg"
"Drug2905","Tegafur+Uracil"
"Drug2906","Olanzapine"
"Drug2907","Immunoglobulin-G (IV)"
"Drug2908","Al.Phosphate+Al.Hydroxide+pectin+agar"
"Drug2909","Captopril"
"Drug2910","Rosiglitazone 4mg + Glimepiride 1mg"
"Drug2911","Human Papilloamavirus Type 16 & 18"
"Drug2912","Mebeverine"
"Drug2913","Thymosin alpha-1"
"Drug2914","Hepatitis B Immunoglobulin"
"Drug2915","Zanamivir"
"Drug2916","Propranolol"
"Drug2917","Carduus marianus ext.(Silymarin + Silybin)"
"Drug2918","Ascorbic acid"
"Drug2919","Calcium Gluconate"
"Drug2920","5-Fluorouracil"
"Drug2921","Propentofylline"
"Drug2922","Leuprolide acetate (Leuprorelin acetate)"
"Drug2923","Streptokinase+Streptodornase"
"Drug2924","Ziprasidone"
"Drug2925","Dihydroergocristine mesylate"
"Drug2926","Ciclesonide"
"Drug2927","Acetaminophen"
"Drug2928","Somatropin"
"Drug2929","Ergotamine tartrate+Caffeine"
"Drug2930","Cefepime HCl"
"Drug2931","Bromelain"
"Drug2932","Vancomycin HCl"
"Drug2933","Hepatitis B Immunoglobulin"
"Drug2934","Desmopressin Acetate"
"Drug2935","Galantamine"
"Drug2936","γ-linolenic acid 40mg"
"Drug2937","Loperamide.HCl"
"Drug2938","Elcatonin"
"Drug2939","Ibuprofen 200mg + Arginine 185mg"
"Drug2940","Dactinomycin"
"Drug2941","Tranexamic acid"
"Drug2942","Simethicone"
"Drug2943","Fulvestrant"
"Drug2944","Cefadroxil monohydrate"
"Drug2945","Peploxacin methanesulfonate"
"Drug2946","Immunoglobulin-G (IV)"
"Drug2947","Cetirizine.HCl"
"Drug2948","Vildagliptin 50mg + Metformin 1000mg"
"Drug2949","Paroxetine HCl"
"Drug2950","Cisplatin"
"Drug2951","Octreotide"
"Drug2683","Digestive Enzymes"
"Drug2684","Repaglinide"
"Drug2685","Imidapril"
"Drug2686","Magnesium Valproate"
"Drug2687","Ziprasidone"
"Drug2688","Ciprofloxacin + Fluocinolone Acetonide"
"Drug2689","Prazosin HCl"
"Drug2690","Propiverine HCl"
"Drug2691","Alfuzosin"
"Drug2692","Simvastatin"
"Drug2693","Thrombin + Fibrinogen + Aprotinin + Rivoflavin + Collagen"
"Drug2694","Ozagrel Sod"
"Drug2695","Piperacillin sod."
"Drug2696","Hyoscin"
"Drug2697","Valsartan 160mg"
"Drug2698","Somatostatin"
"Drug2699","Cyclophosphamide"
"Drug2700","Gabapentin"
"Drug2701","Pancreatin 400mg + Bromelain 30mg + Dimethicone 40mg"
"Drug2702","Lidocaine+Epinephrine(1:80000)"
"Drug2703","Bevacizumab"
"Drug2704","Streptomycin sulfate"
"Drug2705","Bacterial lysate"
"Drug2706","Coagulation factor Ⅷ"
"Drug2707","Eperisone HCl"
"Drug2708","Digestive Enzymes"
"Drug2709","Epinephrine"
"Drug2710","Metformin"
"Drug2711","Leucovorin Calcium"
"Drug2712","Ibandronate Sod"
"Drug2713","Levodopa + Carbidopa + Entacapone"
"Drug2714","Danazol"
"Drug2715","Fluconazole"
"Drug2716","Atenolol"
"Drug2717","Nimodipine "
"Drug2718","Vacc.Hepatitis B"
"Drug2719","Neostigmine methylsulfate"
"Drug2720","Granisetron"
"Drug2721","Cefoperazone + Sulbactam"
"Drug2722","Sizofiran"
"Drug2723","Acetaminophen"
"Drug2724","S-Carboxymethylcysteine"
"Drug2725","Pyrimethamine"
"Drug2726","Ritonavir"
"Drug2727","Aprotinin"
"Drug2728","Disodium clodronate"
"Drug2729","Hydrocortisone"
"Drug2730","Sulpyrin"
"Drug2731","Peritoneal dialysate"
"Drug2732","Metformin"
"Drug2733","Meloxicam"
"Drug2734","Human Papiloma virus Recombinant Vaccine, Quadrivalent"
"Drug2735","Vitis vinifera Ext."
"Drug2736","Enoxaparin"
"Drug2737","Nitroglycerin"
"Drug2738","Galantamine "
"Drug2739","Fluconazole"
"Drug2740","Levodropropizine"
"Drug2741","Pilsicainide HCl"
"Drug2742","Nabumeton"
"Drug2743","Etodolac Micronized"
"Drug2744","Carbachol 0.15mg"
"Drug2745","Trimebutine+CaCO3+Biodiastase+Scopolamin Ext.+Lipase+Glycyrrhizae+NaHCO3+Al-Mg.silicate"
"Drug2746","L-Ornithine-L-Aspartate + Sorbitol"
"Drug2747","Cimetidine"
"Drug2748","Risperidone"
"Drug2749","Ethinylestradiol + Levonorgestrel"
"Drug2750","Idarubicin HCl"
"Drug2751","Cisplatin"
"Drug2752","Benzbromarone"
"Drug2753","Darbepoetin-α"
"Drug2754","Insulin Human (NPH)"
"Drug2755","Trypsin + Ribonuclease + Chymotrypsinogen"
"Drug2756","Cetrorelix"
"Drug2757","Testosterone Cypionate"
"Drug2758","Estradiol cypionate"
"Drug2759","Leucovorin Calcium"
"Drug2760","Insulin Human (RI 20% + NPH 80%)"
"Drug2761","Imipenem + Cilastatin Sod."
"Drug2762","Amoxicillin + Clavulanic acid"
"Drug2763","Paliperidone palmitate"
"Drug2764","Gabapentin"
"Drug2765","Levodropropizine"
"Drug2766","Medroxyprogesterone acetate"
"Drug2767","Clotiazepam"
"Drug2768","Hydroxyurea"
"Drug2769","Almagate"
"Drug2770","Ciprofloxacin"
"Drug2771","Zipeprol.2HCl"
"Drug2772","Cilnidipine"
"Drug2773","Tramadol 75mg + Acetaminophen 650mg"
"Drug2774","Sultamicillin Tosylate"
"Drug2775","Atenolol(50mg)+Chlorthalidone(12.5mg)"
"Drug2776","HTK Solution"
"Drug2777","Allergen ex.(집먼지 진드기)"
"Drug2952","Gliquidone"
"Drug2953","Topotecan"
"Drug2954","Interferon alpha-2b"
"Drug2955","Venlafaxine HCl"
"Drug2956","Lorazepam"
"Drug2542","Meclizine HCl + Hyoscine HBr"
"Drug2543","Cefaclor"
"Drug2544","Doxifluridine"
"Drug2545","Nicotinic acid 1000mg+ Laropiprant 20mg"
"Drug2546","Varicella Zoster Immune Globulin"
"Drug2547","Pralidoxime Chloride"
"Drug2548","Magnesium sulfate"
"Drug2549","Atropine sulfate"
"Drug2550","Carboplatin"
"Drug2551","Sibutramine"
"Drug2552","Folic acid"
"Drug2553","Amoxicillin"
"Drug2554","Diphenylhydantoin"
"Drug2555","Betaxolol.HCl"
"Drug2556","Amikacin sulfate"
"Drug2557","Sildenafil"
"Drug2558","Alfacalcidol"
"Drug2559","Roxithromycin"
"Drug2560","Levofloxacin"
"Drug2561","Immunoglobulin-G (IV)"
"Drug2562","Pncreatin etc + UDCA + Simethicone"
"Drug2563","Tranexamic acid"
"Drug2564","Levodopa + Carbidopa + Entacapone"
"Drug2565","Digoxin"
"Drug2566","Hydrocortisone"
"Drug2567","Pancreatin 외"
"Drug2568","Ciclopiroxolamine"
"Drug2569","Carbamazepine"
"Drug2570","Vacc.Rotavirus"
"Drug2571","Indomethacin"
"Drug2572","Streptococcus Pyogenes"
"Drug2573","Cetrorelix"
"Drug2574","Oseltamivir"
"Drug2575","Cefmetazole"
"Drug2576","Ethanolamine oleate 5%"
"Drug2577","Growth Hormone(Human)"
"Drug2578","Phenobarbital"
"Drug2579","Terpenes (Pinene 31mg+camphene 15mg+borneol 10mg+Anethol 4mg+cineol 3mg+pencone 4mg)"
"Drug2580","Voglibose"
"Drug2581","Levothyroxine sodium"
"Drug2582","Viscum album (아종 : Mali)"
"Drug2583","Tamoxifen Citrate"
"Drug2584","PEG 3350"
"Drug2585","Sirolimus"
"Drug2586","Cytarabine"
"Drug2587","Peritoneal dialysate"
"Drug2588","Etizolam"
"Drug2589","Mecobalamin"
"Drug2590","Paclitaxel"
"Drug2591","Amitriptyline"
"Drug2592","Gatifloxacin"
"Drug2593","Vacc. Influenza Virus"
"Drug2594","Somatropin 24unit(8mg)"
"Drug2595","Asperigilus ext. + Pancreatin"
"Drug2596","Megestrol acetate"
"Drug2597","Phenylephrine HCl"
"Drug2598","γ-linolenic acid"
"Drug2778","Ganciclovir"
"Drug2779","Pazopanib"
"Drug2780","Megestrol acetate"
"Drug2781","Piperacillin sod."
"Drug2782","Methylphenidate HCl"
"Drug2783","Memantine"
"Drug2784","Flutamide"
"Drug2785","Quetiapine"
"Drug2786","Teriparatide"
"Drug2787","Dexamethasone.2Na phosphate"
"Drug2788","Al(OH)3 + Mg(OH)2 + Simethicone"
"Drug2789","Hemocoagulase"
"Drug2790","Alfentanil"
"Drug2791","Candesartan "
"Drug2792","Montelukast Sod."
"Drug2793","Peritoneal dialysate"
"Drug2794","Tofisopam"
"Drug2795","Tripot.dicitrato bismuthate"
"Drug2796","Vitamine B comp"
"Drug2797","Mazindol"
"Drug2798","Chlorpromazine HCl"
"Drug2799","Codeine Phosphate 10mg + Ibuprofen 200mg + Acetminophen 250mg"
"Drug2800","Montelukast Sodium"
"Drug2801","Fibrinogen+Aprotinin+CaCl2"
"Drug2802","Epirubicin.HCl"
"Drug2803","Beraprost Sodium"
"Drug2804","Irbesartan"
"Drug2805","Rifaximin"
"Drug2806","Dolasetron mesylate"
"Drug2807","Isosorbide dinitrate"
"Drug2808","Insulin Human (RI 30% + NPH 70%)"
"Drug2809","Leucovorin Calcium"
"Drug2810","Leflunomide"
"Drug2811","Granisetron.HCl"
"Drug2812","Levodopa + Carbidopa + Entacapone"
"Drug2813","Nafamostat"
"Drug2814","Cefazoline.Na"
"Drug2815","Acetylcysteine"
"Drug2816","Lorazepam"
"Drug2817","Nandrolone decanoate"
"Drug2818","Triptorelin "
"Drug2819","Itraconazole"
"Drug2820","Olanzapine"
"Drug2394","Fenofibrate"
"Drug2395","Camostat mesylate"
"Drug2396","Anagrelide"
"Drug2397","Medroxyprogesterone acetate"
"Drug2398","Cefotiam HCl"
"Drug2399","Ascorbic Acid"
"Drug2400","Na2HPO4.7H2O + NaH2PO4.H2O"
"Drug2401","Auranofin"
"Drug2402","Estradiol valerate"
"Drug2403","Itraconazole"
"Drug2404","Nimodipine"
"Drug2405","Tobramycin"
"Drug2406","Indapamide"
"Drug2407","Heptaplatin"
"Drug2408","Porfimer Sod"
"Drug2409","Ipriflavone"
"Drug2599","Quetiapine"
"Drug2600","Amoxicillin.3H2O"
"Drug2601","Methylprednisolone sod.succinate"
"Drug2602","Metformin HCl"
"Drug2603","Fluvastatin"
"Drug2604","Pancreatin etc"
"Drug2605","Carmofur"
"Drug2606","Aminoacridine undecylenate etc"
"Drug2607","Nitroglycerin"
"Drug2608","Flumazenil"
"Drug2609","Methyldopa"
"Drug2610","Acamprosate"
"Drug2611","Donepezil"
"Drug2612","Quetiapine"
"Drug2613","Vinorelbine Ditartrate"
"Drug2614","Parnaparin Sod"
"Drug2615","Peritoneal dialysate"
"Drug2616","Acyclovir"
"Drug2617","Testosterone undecanoate"
"Drug2618","Butorphanol tartrate"
"Drug2619","Amlodipine 5mg+Losartan K 100mg"
"Drug2620","Metformin"
"Drug2621","Coagulation factor Ⅷ"
"Drug2622","Levobupivacaine"
"Drug2623","Thiopental Sodium"
"Drug2624","Bosentan"
"Drug2625","Ciprofloxacin"
"Drug2626","Clonidine.HCl"
"Drug2627","Follitropin β"
"Drug2628","Trimethoprim 80mg+Sulfamethoxazole 400mg"
"Drug2629","Peritoneal dialysate"
"Drug2630","Tacrolimus"
"Drug2631","Ampicillin + Sulbactam"
"Drug2632","Iron protein succinylate"
"Drug2633","Rosiglitazone"
"Drug2634","Docetaxel"
"Drug2635","Almagate"
"Drug2636","Flavonoids micronised"
"Drug2637","Sotalol.HCl"
"Drug2638","Telmisartan"
"Drug2639","Ibudilast"
"Drug2640","Doxycycline.H2O"
"Drug2641","Phytonadione(Vit.K1)"
"Drug2642","Povidone Iodine"
"Drug2643","Isosorbide Dinitrate"
"Drug2644","Metronidazole"
"Drug2645","Clarithromycin"
"Drug2646","Botulinum toxin type A"
"Drug2647","Lidocaine+Epinephrine(1:100,000)"
"Drug2648","Peritoneal dialysate"
"Drug2649","Octylonium bromide"
"Drug2650","Terfenadine"
"Drug2651","Insulin Human(NPH)"
"Drug2652","Gelatin MFG "
"Drug2653","Peritoneal dialysate"
"Drug2654","Nystatin (500,000 Unit)"
"Drug2655","Chloral hydrate"
"Drug2656","Haloperidol"
"Drug2657","Epoetin beta, Methoxy polyethylene glycol"
"Drug2658","Hyaluronidase"
"Drug2659","Ascorbic acid"
"Drug2660","Imidapril"
"Drug2661","(D-)Mannitol+(D-)Sorbitol"
"Drug2662","Alendronate"
"Drug2663","Acyclovir"
"Drug2664","Omeprazole"
"Drug2665","Protein polysaccharide of Phellinus linteus Aoshima"
"Drug2666","Cholestyramine resin"
"Drug2667","Arnica Tinc외"
"Drug2668","Fentanyl citrate"
"Drug2669","Ramipril"
"Drug2670","Cilnidipine"
"Drug2671","Vacc.Antivenin (Snake Venom Antisera)"
"Drug2672","Ticarcillin Na + Clavulanate K"
"Drug2673","Epirubicin HCl"
"Drug2674","Bisacodyl 5mg + Docusate Sodium 16.75mg"
"Drug2675","Levofloxacin"
"Drug2676","Amiloride.HCl"
"Drug2677","Simethicone"
"Drug2678","Cyclosporine"
"Drug2679","Benidipine"
"Drug2680","Oxaliplatin"
"Drug2681","Adenosine triphosphate"
"Drug2682","Ofloxacin"
"Drug2410","Biphenyl dimethyl dicarboxylate 25mg + Garlic oil 50mg"
"Drug2411","Coagulation factor VIII,IX"
"Drug2412","Vacc.Hepatitis A Virus"
"Drug2413","Anastrozole"
"Drug2414",""
"Drug2415","Paclitaxel"
"Drug2416","Ganciclovir"
"Drug2417","Chlorpromazine HCl"
"Drug2418","Megestrol acetate"
"Drug2419","Praziquantel"
"Drug2420","Tropisetron"
"Drug2421","Bevantolol HCl"
"Drug2422","Mizoribine"
"Drug2423","Citrulline malate"
"Drug2424","Fluoxetine"
"Drug2425","Acitretin"
"Drug2426","Raloxifene HCl"
"Drug2427","Adapalene+Benzoyl Peroxide"
"Drug2428","Colchicine"
"Drug2429","Rabeprazole"
"Drug2430","Mitoxantrone HCl"
"Drug2431","Rofecoxib"
"Drug2432","Risedronate"
"Drug2433","Betaine glucuronate etc"
"Drug2434","Amlodipine Maleate"
"Drug2435","Metronidazole"
"Drug2436","Cefmetazole"
"Drug2437","Coagulation Fator VII(Eptacog alfa)"
"Drug2438","Viscum Album(Quercus)"
